YEARID,MONTHID,ENTERPRISEID,ENTEPRISENAME,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2020,8,48,Entity_0048,1.0,L2-ALL,-8338.08
2020,9,48,Entity_0048,1.0,L2-ALL,-8356.27
2020,10,48,Entity_0048,1.0,L2-ALL,-8586.87
2020,11,48,Entity_0048,1.0,L2-ALL,-8395.02
2020,12,48,Entity_0048,1.0,L2-ALL,-8623.46
2020,1,49,Entity_0049,1.0,L2-ALL,-10355.82
2020,2,49,Entity_0049,1.0,L2-ALL,-10376.09
2020,3,49,Entity_0049,1.0,L2-ALL,-11472.58
2020,4,49,Entity_0049,1.0,L2-ALL,-10421.36
2020,5,49,Entity_0049,1.0,L2-ALL,-10978.51
2020,6,49,Entity_0049,1.0,L2-ALL,-10464.77
2020,7,49,Entity_0049,1.0,L2-ALL,-6449.94
2020,8,49,Entity_0049,1.0,L2-ALL,-10508.53
2020,9,49,Entity_0049,1.0,L2-ALL,-10529.43
2020,10,49,Entity_0049,1.0,L2-ALL,-11083.53
2020,11,49,Entity_0049,1.0,L2-ALL,-10573.73
2020,12,49,Entity_0049,1.0,L2-ALL,93984.23
2020,1,51,Entity_0051,1.0,L2-ALL,-11343.53
2020,2,51,Entity_0051,1.0,L2-ALL,-11363.24
2020,3,51,Entity_0051,1.0,L2-ALL,-12429.56
2020,4,51,Entity_0051,1.0,L2-ALL,-11407.27
2020,5,51,Entity_0051,1.0,L2-ALL,-11949.08
2020,6,51,Entity_0051,1.0,L2-ALL,-11449.48
2020,7,51,Entity_0051,1.0,L2-ALL,-10178.35
2020,8,51,Entity_0051,1.0,L2-ALL,-11492.04
2020,9,51,Entity_0051,1.0,L2-ALL,-11512.37
2020,10,51,Entity_0051,1.0,L2-ALL,-12051.21
2020,11,51,Entity_0051,1.0,L2-ALL,-11555.44
2020,12,51,Entity_0051,1.0,L2-ALL,102484.87
2020,1,55,Entity_0055,1.0,L2-ALL,-8255.88
2020,2,55,Entity_0055,1.0,L2-ALL,-8110.85
2020,3,55,Entity_0055,1.0,L2-ALL,-8594.66
2020,4,55,Entity_0055,1.0,L2-ALL,-7409.67
2020,5,55,Entity_0055,1.0,L2-ALL,-8911.23
2020,6,55,Entity_0055,1.0,L2-ALL,-9353.73
2020,7,55,Entity_0055,1.0,L2-ALL,-6172.22
2020,8,55,Entity_0055,1.0,L2-ALL,-9374.97
2020,9,55,Entity_0055,1.0,L2-ALL,-9626.89
2020,10,55,Entity_0055,1.0,L2-ALL,-9571.01
2020,11,55,Entity_0055,1.0,L2-ALL,-8580.74
2020,12,55,Entity_0055,1.0,L2-ALL,-9653.36
2020,1,57,Entity_0057,1.0,L2-ALL,-9533.02
2020,2,57,Entity_0057,1.0,L2-ALL,-10522.6
2020,3,57,Entity_0057,1.0,L2-ALL,-10761.73
2020,4,57,Entity_0057,1.0,L2-ALL,-9066.76
2020,5,57,Entity_0057,1.0,L2-ALL,-12322.24
2020,6,57,Entity_0057,1.0,L2-ALL,-12479.17
2020,7,57,Entity_0057,1.0,L2-ALL,-9684.56
2020,8,57,Entity_0057,1.0,L2-ALL,-13524.44
2020,9,57,Entity_0057,1.0,L2-ALL,-13223.36
2020,10,57,Entity_0057,1.0,L2-ALL,-13238.99
2020,11,57,Entity_0057,1.0,L2-ALL,-13430.22
2020,12,57,Entity_0057,1.0,L2-ALL,-13443.36
2020,1,60,Entity_0060,1.0,L2-ALL,-8941.26
2020,2,60,Entity_0060,1.0,L2-ALL,-8703.7
2020,3,60,Entity_0060,1.0,L2-ALL,-9539.91
2020,4,60,Entity_0060,1.0,L2-ALL,-8305.35
2020,5,60,Entity_0060,1.0,L2-ALL,-10024.38
2020,6,60,Entity_0060,1.0,L2-ALL,-10717.28
2020,7,60,Entity_0060,1.0,L2-ALL,-9659.03
2020,8,60,Entity_0060,1.0,L2-ALL,-10733.3
2020,9,60,Entity_0060,1.0,L2-ALL,-11171.66
2020,10,60,Entity_0060,1.0,L2-ALL,-11075.26
2020,11,60,Entity_0060,1.0,L2-ALL,-10886.8
2020,12,60,Entity_0060,1.0,L2-ALL,-18776.85
2020,1,63,Entity_0063,1.0,L2-ALL,-10181.41
2020,2,63,Entity_0063,1.0,L2-ALL,-71410.41
2020,3,63,Entity_0063,1.0,L2-ALL,-10181.41
2020,4,63,Entity_0063,1.0,L2-ALL,-10171.41
2020,5,63,Entity_0063,1.0,L2-ALL,-10181.41
2020,6,63,Entity_0063,1.0,L2-ALL,-10181.41
2020,7,63,Entity_0063,1.0,L2-ALL,-7594.66
2020,8,63,Entity_0063,1.0,L2-ALL,-10181.41
2020,9,63,Entity_0063,1.0,L2-ALL,-181.41
2020,10,63,Entity_0063,1.0,L2-ALL,-10181.41
2020,11,63,Entity_0063,1.0,L2-ALL,-10181.41
2020,12,63,Entity_0063,1.0,L2-ALL,11791.59
2020,1,64,Entity_0064,1.0,L2-ALL,-13332.56
2020,2,64,Entity_0064,1.0,L2-ALL,-13047.55
2020,3,64,Entity_0064,1.0,L2-ALL,-14314.91
2020,4,64,Entity_0064,1.0,L2-ALL,-13003.41
2020,5,64,Entity_0064,1.0,L2-ALL,-13605.87
2020,6,64,Entity_0064,1.0,L2-ALL,-14929.79
2020,7,64,Entity_0064,1.0,L2-ALL,-11871.57
2020,8,64,Entity_0064,1.0,L2-ALL,-15009.3
2020,9,64,Entity_0064,1.0,L2-ALL,2495.93
2020,10,64,Entity_0064,1.0,L2-ALL,-13669.83
2020,11,64,Entity_0064,1.0,L2-ALL,-14121.96
2020,12,64,Entity_0064,1.0,L2-ALL,-13809.96
2020,1,65,Entity_0065,1.0,L2-ALL,-24911.99
2020,2,65,Entity_0065,1.0,L2-ALL,-23448.23
2020,3,65,Entity_0065,1.0,L2-ALL,-25303.68
2020,4,65,Entity_0065,1.0,L2-ALL,-22954.05
2020,5,65,Entity_0065,1.0,L2-ALL,-24101.82
2020,6,65,Entity_0065,1.0,L2-ALL,-24576.84
2020,7,65,Entity_0065,1.0,L2-ALL,-21403.85
2020,8,65,Entity_0065,1.0,L2-ALL,-24448.33
2020,9,65,Entity_0065,1.0,L2-ALL,-23354.99
2020,10,65,Entity_0065,1.0,L2-ALL,-24194.71
2020,11,65,Entity_0065,1.0,L2-ALL,-24788.88
2020,12,65,Entity_0065,1.0,L2-ALL,-16970.14
2020,1,66,Entity_0066,1.0,L2-ALL,-24091.57
2020,2,66,Entity_0066,1.0,L2-ALL,-24672.07
2020,3,66,Entity_0066,1.0,L2-ALL,-25820.4
2020,4,66,Entity_0066,1.0,L2-ALL,-23310.69
2020,5,66,Entity_0066,1.0,L2-ALL,-25860.82
2020,6,66,Entity_0066,1.0,L2-ALL,-24480.37
2020,7,66,Entity_0066,1.0,L2-ALL,-21067.03
2020,8,66,Entity_0066,1.0,L2-ALL,-25646.66
2020,9,66,Entity_0066,1.0,L2-ALL,-23147.63
2020,10,66,Entity_0066,1.0,L2-ALL,-25113.82
2020,11,66,Entity_0066,1.0,L2-ALL,-25710.03
2020,12,66,Entity_0066,1.0,L2-ALL,-23490.4
2020,1,88,Entity_0088,1.0,L2-ALL,-15314.23
2020,2,88,Entity_0088,1.0,L2-ALL,-15205.43
2020,3,88,Entity_0088,1.0,L2-ALL,-16059.57
2020,4,88,Entity_0088,1.0,L2-ALL,-15852.7
2020,5,88,Entity_0088,1.0,L2-ALL,-18076.65
2020,6,88,Entity_0088,1.0,L2-ALL,-19565.2
2020,7,88,Entity_0088,1.0,L2-ALL,-17016.49
2020,8,88,Entity_0088,1.0,L2-ALL,-19926.03
2020,9,88,Entity_0088,1.0,L2-ALL,-19970.7
2020,10,88,Entity_0088,1.0,L2-ALL,-20158.62
2020,11,88,Entity_0088,1.0,L2-ALL,-17450.9
2020,12,88,Entity_0088,1.0,L2-ALL,154795.76
2020,1,99,Entity_0099,3.0,L2B,-8344.53
2020,2,99,Entity_0099,3.0,L2B,-8359.1
2020,3,99,Entity_0099,3.0,L2B,-8837.84
2020,4,99,Entity_0099,3.0,L2B,-8390.52
2020,5,99,Entity_0099,3.0,L2B,-8635.95
2020,6,99,Entity_0099,3.0,L2B,-8420.19
2020,7,99,Entity_0099,3.0,L2B,-5213.2
2020,8,99,Entity_0099,3.0,L2B,-7394.12
2020,9,99,Entity_0099,3.0,L2B,-8088.21
2020,10,99,Entity_0099,3.0,L2B,-8311.4
2020,11,99,Entity_0099,3.0,L2B,-8155.02
2020,12,99,Entity_0099,3.0,L2B,-8739.22
2020,1,101,Entity_0101,3.0,L2B,-11623.36
2020,2,101,Entity_0101,3.0,L2B,-11650.72
2020,3,101,Entity_0101,3.0,L2B,-12551.0
2020,4,101,Entity_0101,3.0,L2B,-11707.89
2020,5,101,Entity_0101,3.0,L2B,-12172.48
2020,6,101,Entity_0101,3.0,L2B,-11764.83
2020,7,101,Entity_0101,3.0,L2B,-7848.01
2020,8,101,Entity_0101,3.0,L2B,-11670.96
2020,9,101,Entity_0101,3.0,L2B,-11848.59
2020,10,101,Entity_0101,3.0,L2B,-12308.7
2020,11,101,Entity_0101,3.0,L2B,-11906.63
2020,12,101,Entity_0101,3.0,L2B,-12362.55
2020,1,102,Entity_0102,3.0,L2B,-37371.13
2020,2,102,Entity_0102,3.0,L2B,-18917.42
2020,3,102,Entity_0102,3.0,L2B,-18932.16
2020,4,102,Entity_0102,3.0,L2B,-18994.92
