YEARID,ENTERPRISEID,ENTEPRISENAME,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2023,196,Entity_0196,1.0,L2-ALL,-136940.45
2023,200,Entity_0200,1.0,L2-ALL,-152438.89
2023,201,Entity_0201,1.0,L2-ALL,-117508.85
2023,212,Entity_0212,1.0,L2-ALL,-564769.17
2023,214,Entity_0214,1.0,L2-ALL,-122680.35
2023,216,Entity_0216,1.0,L2-ALL,-154099.78
2023,218,Entity_0218,1.0,L2-ALL,-142863.06
2023,224,Entity_0224,3.0,L2B,-340919.14
2023,226,Entity_0226,1.0,L2-ALL,34176.18
2023,231,Entity_0231,1.0,L2-ALL,-204147.39
2023,237,Entity_0237,1.0,L2-ALL,-81958.91
2023,239,Entity_0239,1.0,L2-ALL,-178974.83
2023,242,Entity_0242,1.0,L2-ALL,-87450.9
2023,245,Entity_0245,1.0,L2-ALL,-127180.78
2023,249,Entity_0249,1.0,L2-ALL,-283424.45
2023,254,Entity_0254,1.0,L2-ALL,-86163.36
2023,284,Entity_0284,1.0,L2-ALL,-191640.83
